siret;code;LocalBackupSuppliers
42980759700050;28.22Z;1.0
79485491900014;43.22B;1.0
37845199100038;33.20C;1.0
41505362800384;41.10A;1.0
33973556500055;43.32A;1.0
48411756900026;16.10A;1.0
57207244500032;23.70Z;1.0
32899872900045;33.20B;1.0
44758868200024;43.12B;1.0
33267882000033;43.34Z;1.0
41158154900028;43.29A;1.0
9718003800016;43.34Z;1.0
32892093900027;43.99C;1.0
39256068600033;33.20C;1.0
30600176900026;43.31Z;1.0
33135528900058;25.61Z;1.0
57635016900073;42.99Z;1.0
34002771300015;43.32B;1.0
75279464400019;43.12A;1.0
38339242000014;43.22B;1.0
51318795500028;42.22Z;1.0
54635007500026;28.12Z;1.0
38785162900015;43.91B;1.0
47934538100020;43.21A;1.0
45200031800025;25.11Z;1.0
77566487303206;42.22Z;1.0
42044132100031;18.12Z;1.0
47824001300019;02.40Z;1.0
34145040100029;43.21A;1.0
47845579300693;10.71B;1.0
44879373700025;25.11Z;1.0
55208131761770;35.13Z;1.0
72080134900500;43.22B;1.0
49444079500040;20.42Z;1.0
40338402700013;30.12Z;1.0
44454012400013;31.01Z;1.0
40088454000024;33.20A;1.0
30863623200016;01.13Z;1.0
41788957300024;10.89Z;1.0
75044130500026;43.99B;1.0
33760635400013;42.21Z;1.0
34083513100012;16.23Z;1.0
49511010800034;43.33Z;1.0
53853482700018;28.92Z;1.0
41307139000012;31.09B;1.0
33956847900028;25.62B;1.0
41076307200015;10.71C;1.0
43020123600295;10.71C;1.0
39505086700021;25.50B;1.0
77566487302158;42.22Z;1.0
80923023800010;43.22B;1.0
34001082600022;33.20C;1.0
55208131768593;35.13Z;1.0
31164122900092;10.84Z;1.0
40001583000021;43.99C;1.0
36920001900072;43.91B;1.0
34054544100024;10.85Z;1.0
57202552600748;36.00Z;1.0
79305878500023;10.71C;1.0
41239753100069;42.11Z;1.0
70980740800030;21.20Z;1.0
33937998404135;36.00Z;1.0
34494433500019;43.32A;1.0
6750281500011;08.12Z;1.0
44490166400037;43.34Z;1.0
53725017700020;22.22Z;1.0
71204245600228;30.30Z;1.0
53380595800014;33.20B;1.0
50311114800022;43.29A;1.0
38934688300025;25.62B;1.0
42608008100059;10.85Z;1.0
53354189200022;43.91B;1.0
37867339600024;43.32B;1.0
39846682100012;25.62B;1.0
43876620600025;43.99C;1.0
34957320400022;43.99C;1.0
30358844600011;43.22A;1.0
42874468400013;43.21A;1.0
81987361300023;43.91B;1.0
48760832500014;25.62B;1.0
47845579302103;10.71C;1.0
78635031400021;28.29B;1.0
53457235900030;43.22A;1.0
45820275100020;25.99B;1.0
80976041600010;10.85Z;1.0
35108213600034;43.99C;1.0
43821168200044;43.22A;1.0
48150690500027;28.30Z;1.0
39051578100016;31.01Z;1.0
41225175300122;41.10A;1.0
38870609500022;21.20Z;1.0
30065690700031;43.21A;1.0
45112875500035;26.12Z;1.0
44460844202568;35.13Z;1.0
69558013400028;10.71C;1.0
76820025500166;08.12Z;1.0
38290349000086;11.07A;1.0
39202739700034;43.91A;1.0
39794200400193;41.10A;1.0
39008839100078;33.20C;1.0
